Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,1,146,132,95,18,14,0,0,0,0,0
D:\Ario Anindito\University Stuff\Cardiff University & VUM\3. Winter 2021\Software Metrics\Assignment 1 - Ario Anindito\Hello World Java,1,146,132,95,18,14,0,0,0,0,0
